"","session.code","subsession.round_number","participant.id_in_session","player.id_in_group","player.t","player.vote","player.bid","player.lama","player.payoff","group.price","group.policy","group.uniforme","group.costo","player.why_accept","player.why_reject","player.other_accept","player.other_reject","player.age","player.gender","player.major","player.political","player.gpa","player.finalassets","player.lama_star","player.vote_cond","marca","total_yes","player.better.yes","player.change_vote","player.better.yes.lag","player.t.lag","player.vote.lag","group.policy.lag","total_yes.lag","player.bid.delta"
"1291","7o4740qq",6,6,6,1,0,80,0.45,130,70,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.7,0,2,3,0,0,0,1,0,0,5,-10
"1292","7o4740qq",7,6,6,1,0,90,0.45,122,78,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.7,0,2,4,0,0,0,1,0,0,3,10
"1293","7o4740qq",8,6,6,1,0,95,0.45,120,80,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.7,0,2,5,0,0,0,1,0,0,4,5
"1294","7o4740qq",9,6,6,1,0,80,0.45,125,75,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,1.2,0,3,1,0,0,0,1,0,0,5,-15
"1295","7o4740qq",10,6,6,1,0,90,0.45,114,86,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,1.2,0,3,0,0,0,0,1,0,0,1,10
"1296","7o4740qq",11,6,6,1,0,90,0.45,111,89,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,1.2,0,3,0,0,0,0,1,0,0,0,0
"1297","7o4740qq",12,6,6,-1,NA,90,0.45,93,93,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,0,NA,NA,3,0,0,NA,0,1,0,0,0,0
"1298","7o4740qq",13,6,6,1,0,100,0.45,105,95,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,1.2,0,4,4,0,NA,0,-1,NA,0,0,10
"1299","7o4740qq",14,6,6,1,0,100,0.45,103,97,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,1.2,0,4,2,0,0,0,1,0,0,4,0
"1300","7o4740qq",15,6,6,1,0,100,0.45,101,99,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,1.2,0,4,3,0,0,0,1,0,0,2,0
"1301","7o4740qq",16,6,6,-1,NA,80,0.45,100,100,0,1,60," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,0,NA,NA,4,1,0,NA,0,1,0,0,3,-20
"1302","7o4740qq",17,6,6,0,1,100,0.45,125,100,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,1,0.2,1,5,8,1,NA,0,-1,NA,0,1,20
"1303","7o4740qq",18,6,6,1,1,100,0.45,120,85,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.4,1,5,9,1,0,1,0,1,1,8,0
"1304","7o4740qq",19,6,6,1,1,100,0.45,115,90,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.4,1,5,6,1,0,1,1,1,1,9,0
"1305","7o4740qq",20,6,6,1,1,100,0.45,109,96,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.4,1,5,7,1,0,1,1,1,1,6,0
"1306","7o4740qq",21,6,6,1,1,100,0.45,103,97,0,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.4,1,6,3,1,0,1,1,1,1,7,0
"1307","7o4740qq",22,6,6,1,1,100,0.45,125,80,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.4,1,6,7,1,0,1,1,1,0,3,0
"1308","7o4740qq",23,6,6,1,1,100,0.45,106,99,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.4,1,6,7,1,0,1,1,1,1,7,0
"1309","7o4740qq",24,6,6,1,1,100,0.45,105,100,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.4,1,6,7,1,0,1,1,1,1,7,0
